TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-159418	Recycling of bile acids and salts	0.999999999963961	-3.60385625268053e-11	20	0	0	20	8672
R-MMU-2029482	Regulation of actin dynamics for phagocytic cup formation	0.999999999964352	-3.56482923693225e-11	46	0	0	20	8672
R-MMU-5628897	TP53 Regulates Metabolic Genes	0.999999999964352	-3.56482923693225e-11	46	0	0	20	8672
R-MMU-112310	Neurotransmitter Release Cycle	0.999999999964352	-3.56482923693225e-11	46	0	0	20	8672
R-MMU-71406	Pyruvate metabolism and Citric Acid (TCA) cycle	0.999999999964352	-3.56482923693225e-11	46	0	0	20	8672
R-MMU-73762	RNA Polymerase I Transcription Initiation	0.999999999964352	-3.56482923693225e-11	46	0	0	20	8672
R-MMU-380108	Chemokine receptors bind chemokines	0.999999999964352	-3.56482923693225e-11	46	0	0	20	8672
R-MMU-72203	Processing of Capped Intron-Containing Pre-mRNA	0.999999999965881	-3.41189957658351e-11	228	0	0	20	8672
R-MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	0.999999999965926	-3.40742519465941e-11	151	0	0	20	8672
R-MMU-5696400	Dual Incision in GG-NER	0.999999999966079	-3.39213993968635e-11	36	0	0	20	8672
R-MMU-74158	RNA Polymerase III Transcription	0.999999999966079	-3.39213993968635e-11	36	0	0	20	8672
R-MMU-381676	Glucagon-like Peptide-1 (GLP1) regulates insulin secretion	0.999999999966079	-3.39213993968635e-11	36	0	0	20	8672
R-MMU-76046	RNA Polymerase III Transcription Initiation	0.999999999966079	-3.39213993968635e-11	36	0	0	20	8672
R-MMU-392517	Rap1 signalling	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-194002	Glucocorticoid biosynthesis	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-190242	FGFR1 ligand binding and activation	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-163615	PKA activation	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-111931	PKA-mediated phosphorylation of CREB	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-549132	Organic cation/anion/zwitterion transport	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-977068	Termination of O-glycan biosynthesis	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-372708	p130Cas linkage to MAPK signaling for integrins	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-69183	Processive synthesis on the lagging strand	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-2162123	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-2173788	Downregulation of TGF-beta receptor signaling	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-5223345	Miscellaneous transport and binding events	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-1433559	Regulation of KIT signaling	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-193639	p75NTR signals via NF-kB	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-975577	N-Glycan antennae elongation	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-156581	Methylation	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-435354	Zinc transporters	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-1810476	RIP-mediated NFkB activation via ZBP1	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-5654228	Phospholipase C-mediated cascade; FGFR4	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-5099900	WNT5A-dependent internalization of FZD4	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-2142845	Hyaluronan metabolism	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-5635838	Activation of SMO	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-1963642	PI3K events in ERBB2 signaling	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-70221	Glycogen breakdown (glycogenolysis)	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-8873719	RAB geranylgeranylation	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-110312	Translesion synthesis by REV1	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-5358508	Mismatch Repair	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-1295596	Spry regulation of FGF signaling	0.999999999966623	-3.33764929186182e-11	15	0	0	20	8672
R-MMU-72649	Translation initiation complex formation	0.999999999966725	-3.32752753553646e-11	54	0	0	20	8672
R-MMU-1445148	Translocation of GLUT4 to the plasma membrane	0.999999999966725	-3.32752753553646e-11	54	0	0	20	8672
R-MMU-6809371	Formation of the cornified envelope	0.999999999966725	-3.32752753553646e-11	54	0	0	20	8672
R-MMU-174113	SCF-beta-TrCP mediated degradation of Emi1	0.999999999966725	-3.32752753553646e-11	54	0	0	20	8672
R-MMU-4641257	Degradation of AXIN	0.999999999966725	-3.32752753553646e-11	54	0	0	20	8672
R-MMU-69541	Stabilization of p53	0.999999999966725	-3.32752753553646e-11	54	0	0	20	8672
R-MMU-5654716	Downstream signaling of activated FGFR4	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-354192	Integrin alphaIIb beta3 signaling	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-1266695	Interleukin-7 signaling	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-445989	TAK1 activates NFkB by phosphorylation and activation of IKKs complex	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-6814122	Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-1489509	DAG and IP3 signaling	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-2299718	Condensation of Prophase Chromosomes	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-2426168	Activation of gene expression by SREBF (SREBP)	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-2022928	HS-GAG biosynthesis	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-418360	Platelet calcium homeostasis	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-77387	Insulin receptor recycling	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-5357905	Regulation of TNFR1 signaling	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-167021	PLC-gamma1 signalling	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-5656169	Termination of translesion DNA synthesis	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-76066	RNA Polymerase III Transcription Initiation From Type 2 Promoter	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-1483191	Synthesis of PC	0.999999999966824	-3.31758335578971e-11	27	0	0	20	8672
R-MMU-76005	Response to elevated platelet cytosolic Ca2+	0.999999999967107	-3.28931360791755e-11	140	0	0	20	8672
R-MMU-68949	Orc1 removal from chromatin	0.999999999967691	-3.23087770047483e-11	70	0	0	20	8672
R-MMU-3214858	RMTs methylate histone arginines	0.999999999967691	-3.23087770047483e-11	70	0	0	20	8672
R-MMU-6807505	RNA polymerase II transcribes snRNA genes	0.999999999967691	-3.23087770047483e-11	70	0	0	20	8672
R-MMU-69052	Switching of origins to a post-replicative state	0.999999999967691	-3.23087770047483e-11	70	0	0	20	8672
R-MMU-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	0.999999999967691	-3.23087770047483e-11	70	0	0	20	8672
R-MMU-5654738	Signaling by FGFR2	0.999999999967691	-3.23087770047483e-11	70	0	0	20	8672
R-MMU-8854518	AURKA Activation by TPX2	0.999999999967691	-3.23087770047483e-11	70	0	0	20	8672
R-MMU-3214841	PKMTs methylate histone lysines	0.999999999967691	-3.23087770047483e-11	70	0	0	20	8672
R-MMU-190236	Signaling by FGFR	0.999999999967796	-3.22036482734524e-11	83	0	0	20	8672
R-MMU-5389840	Mitochondrial translation elongation	0.999999999967796	-3.22036482734524e-11	83	0	0	20	8672
R-MMU-450531	Regulation of mRNA stability by proteins that bind AU-rich elements	0.999999999967796	-3.22036482734524e-11	83	0	0	20	8672
R-MMU-68874	M/G1 Transition	0.999999999967796	-3.22036482734524e-11	83	0	0	20	8672
R-MMU-69002	DNA Replication Pre-Initiation	0.999999999967796	-3.22036482734524e-11	83	0	0	20	8672
R-MMU-453279	Mitotic G1-G1/S phases	0.999999999967881	-3.21186959603601e-11	132	0	0	20	8672
R-MMU-4570464	SUMOylation of RNA binding proteins	0.999999999968621	-3.13789724924342e-11	45	0	0	20	8672
R-MMU-1660661	Sphingolipid de novo biosynthesis	0.999999999968621	-3.13789724924342e-11	45	0	0	20	8672
R-MMU-194068	Bile acid and bile salt metabolism	0.999999999968621	-3.13789724924342e-11	45	0	0	20	8672
R-MMU-421270	Cell-cell junction organization	0.999999999968621	-3.13789724924342e-11	45	0	0	20	8672
R-MMU-5362798	Release of Hh-Np from the secreting cell	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-68911	G2 Phase	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-210746	Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-1482798	Acyl chain remodeling of CL	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-140834	Extrinsic Pathway of Fibrin Clot Formation	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-167826	The fatty acid cycling model	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-5624138	Trafficking of myristoylated proteins to the cilium	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-1169092	Activation of RAS in B cells	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-77348	Beta oxidation of octanoyl-CoA to hexanoyl-CoA	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-400511	Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-8866423	VLDL biosynthesis	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-114516	Disinhibition of SNARE formation	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-69478	G2/M DNA replication checkpoint	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-5578768	Physiological factors	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-1912399	Pre-NOTCH Processing in the Endoplasmic Reticulum	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-447038	NrCAM interactions	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-8849468	PTK6 Regulates Proteins Involved in RNA Processing	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-2187335	The retinoid cycle in cones (daylight vision)	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-446388	Regulation of cytoskeletal remodeling and cell spreading by IPP complex components	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-937072	TRAF6 mediated induction of TAK1 complex	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-75944	Transcription from mitochondrial promoters	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-428890	Role of Abl in Robo-Slit signaling	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-5627117	RHO GTPases Activate ROCKs	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-964739	N-glycan trimming and elongation in the cis-Golgi	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-389599	Alpha-oxidation of phytanate	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-196819	Vitamin B1 (thiamin) metabolism	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-8865999	MET activates PTPN11	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-1483226	Synthesis of PI	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-112303	Electric Transmission Across Gap Junctions	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-442720	CREB phosphorylation through the activation of Adenylate Cyclase	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-2161517	Abacavir transmembrane transport	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-5221030	TET1,2,3 and TDG demethylate DNA	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-111461	Cytochrome c-mediated apoptotic response	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-2142712	Synthesis of 12-eicosatetraenoic acid derivatives	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-167827	The proton buffering model	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-418217	G beta:gamma signalling through PLC beta	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-391906	Leukotriene receptors	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-156711	Polo-like kinase mediated events	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-918233	TRAF3-dependent IRF activation pathway	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-8875513	MET interacts with TNS proteins	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-174577	Activation of C3 and C5	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-71032	Propionyl-CoA catabolism	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-1433617	Regulation of signaling by NODAL	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-427652	Sodium-coupled phosphate cotransporters	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-1566977	Fibronectin matrix formation	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-977347	Serine biosynthesis	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-5576890	Phase 3 - rapid repolarisation	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-77346	Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-2142700	Synthesis of Lipoxins (LX)	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-166187	Mitochondrial Uncoupling Proteins	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-75205	Dissolution of Fibrin Clot	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-3065678	SUMO is transferred from E1 to E2 (UBE2I, UBC9)	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-5662702	Melanin biosynthesis	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-203641	NOSTRIN mediated eNOS trafficking	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-5661270	Catabolism of glucuronate to xylulose-5-phosphate	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-1306955	GRB7 events in ERBB2 signaling	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-418886	Netrin mediated repulsion signals	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-380095	Tachykinin receptors bind tachykinins	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-77310	Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-75158	TRAIL  signaling	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-417973	Adenosine P1 receptors	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-70370	Galactose catabolism	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-77350	Beta oxidation of hexanoyl-CoA to butanoyl-CoA	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-390648	Muscarinic acetylcholine receptors	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-433137	Sodium-coupled sulphate, di- and tri-carboxylate transporters	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-8866376	Reelin signalling pathway	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-390651	Dopamine receptors	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-426048	Arachidonate production from DAG	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-111459	Activation of caspases through apoptosome-mediated cleavage	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-112307	Transmission across Electrical Synapses	0.999999999968753	-3.1246841932782e-11	5	0	0	20	8672
R-MMU-983170	Antigen Presentation: Folding, assembly and peptide loading of class I MHC	0.999999999968931	-3.10687148356402e-11	47	0	0	20	8672
R-MMU-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	0.999999999968931	-3.10687148356402e-11	47	0	0	20	8672
R-MMU-1442490	Collagen degradation	0.999999999968931	-3.10687148356402e-11	47	0	0	20	8672
R-MMU-5654736	Signaling by FGFR1	0.999999999968931	-3.10687148356402e-11	47	0	0	20	8672
R-MMU-1483249	Inositol phosphate metabolism	0.999999999968931	-3.10687148356402e-11	47	0	0	20	8672
R-MMU-420499	Class C/3 (Metabotropic glutamate/pheromone receptors)	0.999999999968931	-3.10687148356402e-11	47	0	0	20	8672
R-MMU-5358346	Hedgehog ligand biogenesis	0.999999999968961	-3.10392273747265e-11	61	0	0	20	8672
R-MMU-5250924	B-WICH complex positively regulates rRNA expression	0.999999999968961	-3.10392273747265e-11	61	0	0	20	8672
R-MMU-170834	Signaling by TGF-beta Receptor Complex	0.999999999968961	-3.10392273747265e-11	61	0	0	20	8672
R-MMU-2173782	Binding and Uptake of Ligands by Scavenger Receptors	0.999999999969347	-3.06531286160005e-11	44	0	0	20	8672
R-MMU-2559586	DNA Damage/Telomere Stress Induced Senescence	0.999999999969347	-3.06531286160005e-11	44	0	0	20	8672
R-MMU-975634	Retinoid metabolism and transport	0.999999999969347	-3.06531286160005e-11	44	0	0	20	8672
R-MMU-75153	Apoptotic execution  phase	0.999999999969347	-3.06531286160005e-11	44	0	0	20	8672
R-MMU-73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	0.999999999969347	-3.06531286160005e-11	44	0	0	20	8672
R-MMU-75953	RNA Polymerase II Transcription Initiation	0.999999999969347	-3.06531286160005e-11	44	0	0	20	8672
R-MMU-913709	O-linked glycosylation of mucins	0.999999999969347	-3.06531286160005e-11	44	0	0	20	8672
R-MMU-76042	RNA Polymerase II Transcription Initiation And Promoter Clearance	0.999999999969347	-3.06531286160005e-11	44	0	0	20	8672
R-MMU-4615885	SUMOylation of DNA replication proteins	0.999999999969347	-3.06531286160005e-11	44	0	0	20	8672
R-MMU-73893	DNA Damage Bypass	0.999999999969347	-3.06531286160005e-11	44	0	0	20	8672
R-MMU-73776	RNA Polymerase II Promoter Escape	0.999999999969347	-3.06531286160005e-11	44	0	0	20	8672
R-MMU-5696398	Nucleotide Excision Repair	0.999999999969729	-3.02713342110224e-11	101	0	0	20	8672
R-MMU-109581	Apoptosis	0.999999999969894	-3.01057598905828e-11	97	0	0	20	8672
R-MMU-163200	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	0.999999999969894	-3.01057598905828e-11	97	0	0	20	8672
R-MMU-1236975	Antigen processing-Cross presentation	0.999999999969894	-3.01057598905828e-11	97	0	0	20	8672
R-MMU-6804756	Regulation of TP53 Activity through Phosphorylation	0.999999999970172	-2.98279984028492e-11	91	0	0	20	8672
R-MMU-912497	Meiotic Recombination	0.999999999970172	-2.98279984028492e-11	91	0	0	20	8672
R-MMU-573389	NoRC negatively regulates rRNA expression	0.999999999970172	-2.98279984028492e-11	91	0	0	20	8672
R-MMU-375276	Peptide ligand-binding receptors	0.999999999970208	-2.97923929394024e-11	184	0	0	20	8672
R-MMU-2173793	Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	0.99999999997042	-2.9580165457017e-11	39	0	0	20	8672
R-MMU-3769402	Deactivation of the beta-catenin transactivating complex	0.99999999997042	-2.9580165457017e-11	39	0	0	20	8672
R-MMU-429914	Deadenylation-dependent mRNA decay	0.99999999997042	-2.9580165457017e-11	39	0	0	20	8672
R-MMU-5654741	Signaling by FGFR3	0.99999999997042	-2.9580165457017e-11	39	0	0	20	8672
R-MMU-5620924	Intraflagellar transport	0.99999999997042	-2.9580165457017e-11	39	0	0	20	8672
R-MMU-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	0.99999999997042	-2.9580165457017e-11	39	0	0	20	8672
R-MMU-166658	Complement cascade	0.99999999997042	-2.9580165457017e-11	39	0	0	20	8672
R-MMU-1660662	Glycosphingolipid metabolism	0.99999999997042	-2.9580165457017e-11	39	0	0	20	8672
R-MMU-69613	p53-Independent G1/S DNA damage checkpoint	0.999999999970648	-2.93521546315292e-11	52	0	0	20	8672
R-MMU-157118	Signaling by NOTCH	0.999999999970648	-2.93521546315292e-11	52	0	0	20	8672
R-MMU-69610	p53-Independent DNA Damage Response	0.999999999970648	-2.93521546315292e-11	52	0	0	20	8672
R-MMU-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	0.999999999970648	-2.93521546315292e-11	52	0	0	20	8672
R-MMU-6781823	Formation of TC-NER Pre-Incision Complex	0.999999999970648	-2.93521546315292e-11	52	0	0	20	8672
R-MMU-72165	mRNA Splicing - Minor Pathway	0.999999999970648	-2.93521546315292e-11	52	0	0	20	8672
R-MMU-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	0.999999999970648	-2.93521546315292e-11	52	0	0	20	8672
R-MMU-5625740	RHO GTPases activate PKNs	0.999999999970648	-2.93521546315292e-11	52	0	0	20	8672
R-MMU-198933	Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell	0.999999999970799	-2.92006637754918e-11	113	0	0	20	8672
R-MMU-5663220	RHO GTPases Activate Formins	0.999999999970799	-2.92006637754918e-11	113	0	0	20	8672
R-MMU-1630316	Glycosaminoglycan metabolism	0.999999999970799	-2.92006637754918e-11	113	0	0	20	8672
R-MMU-1980148	Signaling by NOTCH3	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-71064	Lysine catabolism	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-1980150	Signaling by NOTCH4	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-71384	Ethanol oxidation	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-8863678	Neurodegenerative Diseases	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-159782	Removal of aminoterminal propeptides from gamma-carboxylated proteins	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-622323	Presynaptic nicotinic acetylcholine receptors	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-446353	Cell-extracellular matrix interactions	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-1475029	Reversible hydration of carbon dioxide	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-111447	Activation of BAD and translocation to mitochondria	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-1250347	SHC1 events in ERBB4 signaling	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-400508	Incretin synthesis, secretion, and inactivation	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-5675482	Regulation of necroptotic cell death	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-264870	Caspase-mediated cleavage of cytoskeletal proteins	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-5140745	WNT5A-dependent internalization of FZD2, FZD5 and ROR2	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-193775	Synthesis of bile acids and bile salts via 24-hydroxycholesterol	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-444473	Formyl peptide receptors bind formyl peptides and many other ligands	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-2559584	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-1963640	GRB2 events in ERBB2 signaling	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-8866427	VLDLR internalisation and degradation	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-1643685	Disease	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-6804759	Regulation of TP53 Activity through Association with Co-factors	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-209543	p75NTR recruits signalling complexes	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-376176	Signaling by Robo receptor	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-71182	Phenylalanine and tyrosine catabolism	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-202430	Translocation of ZAP-70 to Immunological synapse	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-3000480	Scavenging by Class A Receptors	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-8847993	ERBB2 Activates PTK6 Signaling	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-428790	Facilitative Na+-independent glucose transporters	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-1483213	Synthesis of PE	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-73817	Purine ribonucleoside monophosphate biosynthesis	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-2122947	NOTCH1 Intracellular Domain Regulates Transcription	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-3134963	DEx/H-box helicases activate type I IFN and inflammatory cytokines production	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-877312	Regulation of IFNG signaling	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-193807	Synthesis of bile acids and bile salts via 27-hydroxycholesterol	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-389359	CD28 dependent Vav1 pathway	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-209560	NF-kB is activated and signals survival	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-3232118	SUMOylation of transcription factors	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
R-MMU-2142691	Synthesis of Leukotrienes (LT) and Eoxins (EX)	0.999999999970816	-2.91837249904467e-11	12	0	0	20	8672
